Date / Time;25/05/2023 14:32;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;CRM2B;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-34.4;NaN;0;19.9;NaN;NaN
1.3;196;NaN;57;19.6;1.3;230.4
1.325;200.1;NaN;277;19.1;0.025;4.1
1.35;203.5;NaN;293;19.1;0.025;3.4
1.375;206.5;NaN;312;19;0.025;3
1.4;209.5;111.5;328;19;0.025;3
1.425;212;96.04;347;19;0.025;2.5
1.45;214.3;88.06;362;19;0.025;2.3
1.475;216.4;79.73;377;19;0.025;2.1
1.5;218.2;73.79;392;19;0.025;1.8
1.525;220.1;69.72;408;18.9;0.025;1.9
1.55;221.8;66.08;423;18.9;0.025;1.7
1.575;223.3;62.35;438;18.9;0.025;1.5
1.6;225;59.02;453;18.9;0.025;1.7
1.625;226.3;55.3;468;18.9;0.025;1.3
1.65;227.7;NaN;483;18.9;0.025;1.4
1.675;228.9;NaN;499;18.9;0.025;1.2
1.7;230.2;NaN;514;18.9;0.025;1.3
1.725;231.3;NaN;529;18.9;0.025;1.1
1.75;232.4;NaN;544;18.9;0.025;1.1
