Date / Time;24/05/2023 11:35;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE1b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;18.5;NaN;0;20.4;NaN;NaN
1.5;143.1;NaN;50;20;1.5;124.6
1.525;148.6;NaN;270;19;0.025;5.5
1.55;158;NaN;293;19;0.025;9.4
1.575;167.7;NaN;316;19;0.025;9.7
1.6;176.5;296.61;342;18.9;0.025;8.8
1.625;183.7;282.94;365;18.9;0.025;7.2
1.65;189.8;227.64;387;18.9;0.025;6.1
1.675;194.8;187.57;404;18.8;0.025;5
1.7;199;158.94;419;18.8;0.025;4.2
1.725;202.8;138.62;435;18.8;0.025;3.8
1.75;206.1;122.76;450;18.8;0.025;3.3
1.775;209;110.35;465;18.8;0.025;2.9
1.8;211.6;99.9;480;18.8;0.025;2.6
1.825;214;90.93;495;18.8;0.025;2.4
1.85;216.2;83.56;510;18.7;0.025;2.2
1.875;218.2;77.46;526;18.7;0.025;2
1.9;220.1;NaN;541;18.7;0.025;1.9
1.925;221.8;NaN;556;18.7;0.025;1.7
1.95;223.4;NaN;571;18.7;0.025;1.6
1.975;225;NaN;586;18.7;0.025;1.6
2;226.4;NaN;602;18.7;0.025;1.4
