Date / Time;11/05/2023 14:01;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE2b;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-21;NaN;0;21.2;NaN;NaN
1.5;205.5;NaN;76;21.1;1.5;226.5
1.525;208.6;NaN;292;20.8;0.025;3.1
1.55;211.4;NaN;307;20.8;0.025;2.8
1.575;213.8;NaN;328;20.8;0.025;2.4
1.6;216;90.42;345;20.8;0.025;2.2
1.625;218.3;80.02;363;20.7;0.025;2.3
1.65;220.1;74.6;378;20.7;0.025;1.8
1.675;221.9;69.96;396;20.7;0.025;1.8
1.7;223.6;65.11;412;20.7;0.025;1.7
1.725;225.2;60.83;429;20.7;0.025;1.6
1.75;226.7;NaN;444;20.7;0.025;1.5
1.775;228.1;NaN;459;20.7;0.025;1.4
1.8;229.4;NaN;474;20.7;0.025;1.3
1.825;230.7;NaN;490;20.7;0.025;1.3
1.85;232;NaN;505;20.7;0.025;1.3
