Date / Time;12/05/2023 10:26;;;;;
User name;Administrator;;;;;
Method ID;U8000;;;;;
;;;;;;
Loop;1 of 1;;;;;
Sample;1 of 1;;;;;
;;;;;;
ID 1;TILE1a;;;;;
Sample size;50;mL;;;;
Density;1;g/mL;;;;
Correction factor;1;;;;;
;;;;;;
R1;Consumption;NaN;mL;;;
R2;Consumption;NaN;mL;;;
;;;;;;
Table of measured values Titration (EQP) [1];;;;;;
Volume;Meas. value;1.Derivative;Time;Temperature;dV;dE
mL;mV;mV/mL;s;°C;mL;mV
0;-61.8;NaN;0;20.8;NaN;NaN
1.5;203.5;NaN;64;20.7;1.5;265.3
1.525;207.4;NaN;280;20.5;0.025;3.9
1.55;210.5;NaN;295;20.5;0.025;3.1
1.575;213.1;NaN;310;20.5;0.025;2.6
1.6;215.5;98.79;325;20.5;0.025;2.4
1.625;217.8;83.59;340;20.5;0.025;2.3
1.65;219.8;78.6;355;20.5;0.025;2
1.675;221.7;73.31;371;20.5;0.025;1.9
1.7;223.5;68.09;386;20.5;0.025;1.8
1.725;225.1;63.47;401;20.5;0.025;1.6
1.75;226.7;NaN;416;20.5;0.025;1.6
1.775;228.1;NaN;431;20.5;0.025;1.4
1.8;229.5;NaN;446;20.4;0.025;1.4
1.825;230.8;NaN;462;20.4;0.025;1.3
1.85;232.1;NaN;477;20.4;0.025;1.3
